nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,biaya_karyawan,jumlah_pelanggan
UD. Tiara Pelangi,Jasa,96.0,31.0,16.021172661275056,15.591369785674443,Lazada,375.0,Terdaftar,2021,19.758309935715648,5.929589143389895
UD. Lana Gatra,Jasa,68.0,40.0,15.511507011539994,17.66140243606392,Bukalapak,455.0,Belum Terdaftar,2004,19.596254076843024,6.1224928095143865
UD. Monica Artha,Perdagangan,7.0,21.0,15.949539830162783,16.326373899107114,Bukalapak,384.0,Belum Terdaftar,2019,18.24632736871235,5.953243334287785
UD. Irma Buana,Jasa,8.0,99.0,14.8733716829369,17.10231766703499,Lazada,256.0,Belum Terdaftar,2009,19.586951684209556,5.54907608489522
UD. Juli Abdi,Pendidikan,89.0,41.0,15.025838922860208,17.329999481386476,Website Sendiri,584.0,Belum Terdaftar,2004,19.781657299652068,6.371611847231857
UD. Joko Sulaksana,Kesehatan,1.0,11.0,15.448823382909483,17.05548229112721,Shopee,522.0,Belum Terdaftar,2001,17.399029524198163,6.259581464064923
UD. Andi Kusumah,Jasa,36.0,56.0,15.971108534764209,16.953664884832904,Lazada,906.0,Terdaftar,2004,19.435911427304614,6.810142450115136
UD. Citra Gandewa,Perdagangan,99.0,84.0,13.805589506682455,17.45313126972531,Tokopedia,587.0,Belum Terdaftar,2006,20.1236090012953,6.376726947898627
UD. Laras Panuluh,Pendidikan,11.0,7.0,15.268416524272318,17.107022566722723,Tokopedia,253.0,Terdaftar,2015,17.804494623047066,5.537334267018537
UD. Ilmi Santosa,Kesehatan,18.0,27.0,14.672997334602272,16.77208876814384,Website Sendiri,918.0,Terdaftar,2014,18.72078534381011,6.823286122355687
UD. Zidanar Widjaja Nando,Kesehatan,26.0,56.0,14.53058555698149,16.85432870951942,Lazada,91.0,Belum Terdaftar,2000,19.320842097961677,4.5217885770490405
UD. Yudi Nirbayu,Kesehatan,23.0,52.0,14.808718996702309,17.167452917427244,Shopee,115.0,Terdaftar,2017,19.23161096461314,4.7535901911063645
UD. Qira Mandiri,Pendidikan,65.0,85.0,15.937982014912455,16.884185625115023,Lazada,115.0,Terdaftar,2018,19.92475814295086,4.7535901911063645
UD. Jay Widhi,Pendidikan,15.0,79.0,15.127326763036224,17.058563857884238,Website Sendiri,502.0,Terdaftar,2024,19.457417632448486,6.220590170099739
UD. Yasir Persada,Jasa,1.0,75.0,14.221016331912239,17.48172089833247,Bukalapak,606.0,Terdaftar,2023,19.24485619130468,6.408528791059498
UD. Damaris Harapan,Pendidikan,20.0,16.0,15.46916227422449,16.261662779204762,Lazada,971.0,Terdaftar,2000,18.497641794347754,6.879355804460439
UD. Zidanar Pamungkas,Kesehatan,9.0,20.0,14.84988294756947,17.679862899348816,Website Sendiri,993.0,Terdaftar,2008,18.28141868811311,6.901737206656574
UD. Rafif Wirawati,Jasa,57.0,50.0,15.547046803971364,17.058563857884238,Website Sendiri,335.0,Terdaftar,2009,19.586951684209556,5.817111159963204
UD. Anis Dewangga,Kesehatan,16.0,6.0,16.062333544180724,17.638468114604635,Bukalapak,73.0,Terdaftar,2009,18.005165315142214,4.30406509320417
UD. Anis Wangi,Jasa,75.0,60.0,15.920209187034942,17.300331091391662,Website Sendiri,716.0,Terdaftar,2014,19.81939762753995,6.57507584059962
UD. Ony Utama Indira,Jasa,6.0,83.0,15.667430541327453,17.3558138117621,Shopee,827.0,Belum Terdaftar,2006,19.402759220109843,6.71901315438526
UD. Hilmi Terang,Perdagangan,72.0,99.0,15.028043618526286,15.613861091659869,Website Sendiri,599.0,Belum Terdaftar,2024,20.055786405084362,6.396929655216146
UD. Bulan Reswara,Perdagangan,49.0,40.0,15.836764833187363,17.598234368087564,Lazada,487.0,Terdaftar,2020,19.402759220109843,6.1903154058531475
UD. Ulya Sudharmo Ilmi,Kesehatan,9.0,59.0,15.888968106214715,17.633817630101525,Website Sendiri,658.0,Belum Terdaftar,2000,19.13363055671045,6.490723534502507
UD. Yusuf Suryaatmaja,Jasa,15.0,43.0,15.806774497423573,17.149986629047493,Website Sendiri,501.0,Belum Terdaftar,2006,18.974565862925928,6.375024819828097
UD. Gracia Sarwono Zidan,Kesehatan,0.0,76.0,15.785066081552083,15.80289437486893,Shopee,111.0,Belum Terdaftar,2023,19.24485619130468,4.718498871295094
UD. Romi Adiwangsa,Pendidikan,8.0,28.0,13.843783096429933,16.272464049940186,Bukalapak,704.0,Belum Terdaftar,2000,18.497641794347754,6.558197802812269
UD. Ghani Brata,Kesehatan,12.0,42.0,14.722574856907924,17.26745089427151,Bukalapak,294.0,Terdaftar,2004,18.903106899369497,5.68697535633982
UD. Prita Sentosa,Kesehatan,60.0,36.0,13.805589506682455,17.33934819689665,Bukalapak,226.0,Belum Terdaftar,2022,19.478471041572444,5.424950017481403
UD. Yana Cinta Chiko,Perdagangan,47.0,60.0,15.292927935852763,17.679862899348816,Bukalapak,48.0,Terdaftar,2018,19.586951684209556,3.8918202981106265
UD. Sella Bintang,Jasa,15.0,58.0,15.574624238440379,16.939205522666004,Bukalapak,989.0,Terdaftar,2017,19.204582292346984,6.897704943128636
UD. Mira Satriya,Kesehatan,97.0,60.0,16.019054569989635,17.62837661023357,Tokopedia,917.0,Terdaftar,2013,19.970368654103833,6.822197390620491
UD. Owen Baruna,Jasa,40.0,71.0,14.33955482917969,16.23434337529388,Lazada,43.0,Terdaftar,2000,19.62365305094772,3.784189633918261
UD. Monica Senopati,Perdagangan,29.0,19.0,14.662280993573193,15.033690067461153,Website Sendiri,159.0,Belum Terdaftar,2010,18.78532386448472,5.075173815233827
UD. Farid Kencana,Perdagangan,76.0,43.0,16.068205687231004,15.92183596821513,Website Sendiri,757.0,Belum Terdaftar,2010,19.693246342545034,6.630683385642372
UD. Jodi Panji,Perdagangan,71.0,55.0,15.2215095023585,17.66016285406015,Website Sendiri,965.0,Belum Terdaftar,2002,19.750404756229365,6.873163834212518
UD. Yumna Arya,Perdagangan,54.0,47.0,14.708264868601166,17.622599179149926,Shopee,727.0,Belum Terdaftar,2023,19.529243366773972,6.590301048196686
UD. Zahira Sidarta,Jasa,10.0,73.0,15.633590257583355,17.28138288895725,Bukalapak,67.0,Terdaftar,2002,19.332963458445047,4.219507705176107
UD. Yasir Lestari,Pendidikan,51.0,14.0,14.357416156499088,15.977045779558521,Lazada,997.0,Belum Terdaftar,2018,19.088510121656228,6.905753276311464
UD. Gadis Nirbayu,Perdagangan,94.0,75.0,14.59166205629791,15.438260865945152,Website Sendiri,72.0,Belum Terdaftar,2003,20.044021563527846,4.290459441148391
UD. Halimah Sukma,Pendidikan,74.0,55.0,15.643032845635851,15.033690067461153,Bukalapak,196.0,Belum Terdaftar,2002,19.773935253578035,5.2832037287379885
UD. Mira Wacana,Jasa,47.0,55.0,14.490326238589349,17.310825681486406,Bukalapak,80.0,Belum Terdaftar,2002,19.53909566318463,4.394449154672439
UD. Jay Satria,Perdagangan,6.0,45.0,16.068205687231004,17.212712736085162,Bukalapak,135.0,Belum Terdaftar,2012,18.845948485892656,4.912654885736052
UD. Muthia Cerah,Perdagangan,53.0,56.0,15.548040764742389,15.486556514379032,Shopee,15.0,Terdaftar,2010,19.60547073191963,2.772588722239781
UD. Barokah Manunggal,Jasa,0.0,44.0,15.662975589858636,16.695597496850123,Lazada,557.0,Belum Terdaftar,2018,18.6983124881264,6.324358962381311
UD. Lidya Merdeka,Jasa,86.0,79.0,15.86314778687985,15.491286059741814,Website Sendiri,809.0,Terdaftar,2013,20.020068322553165,6.697034247666484
UD. Obed Jagad,Perdagangan,31.0,41.0,15.03971942505143,17.614674268704402,Tokopedia,246.0,Terdaftar,2017,19.190788970278067,5.5093883366279774
UD. Yolanda Sumirat Isna,Jasa,61.0,61.0,15.892833106162342,16.97270674718461,Shopee,836.0,Terdaftar,2019,19.71814389409788,6.729824070489475
UD. Wahyu Wetan,Pendidikan,14.0,7.0,15.626850080701193,16.238658907106434,Shopee,512.0,Terdaftar,2018,17.958645300228824,6.240275845170769
UD. Fajar Kusen,Perdagangan,81.0,83.0,15.701728025811573,17.423510297962494,Tokopedia,739.0,Terdaftar,2024,20.013989276489102,6.606650186198215
UD. Jafar Manggala,Perdagangan,91.0,13.0,14.725278864996403,17.371945057637365,Shopee,447.0,Belum Terdaftar,2019,19.558513748978886,6.104793232414985
UD. Naufal Berkarya,Pendidikan,60.0,25.0,15.353521424425363,17.665451585147796,Website Sendiri,79.0,Belum Terdaftar,2020,19.35677410704427,4.382026634673881
UD. Naila Elok Qomar,Pendidikan,77.0,49.0,15.375950854712364,16.675534843255722,Lazada,43.0,Belum Terdaftar,2010,19.676296784279142,3.784189633918261
UD. Arman Kencana,Jasa,76.0,28.0,15.938236061035285,15.774933708065246,Lazada,692.0,Belum Terdaftar,2015,19.558513748978886,6.541029999189903
UD. Mario Wijapranata Irma,Perdagangan,55.0,62.0,15.736660252842313,16.19504030307126,Website Sendiri,953.0,Belum Terdaftar,2021,19.676296784279142,6.860663671448287
UD. Ony Nirbayu,Kesehatan,33.0,12.0,15.466329828445678,16.28153785910316,Website Sendiri,571.0,Terdaftar,2009,18.72078534381011,6.349138991379798
UD. Harun Wijapranata,Jasa,19.0,97.0,16.007902700093183,17.420489083533464,Lazada,166.0,Belum Terdaftar,2020,19.667713040612313,5.117993812416755
UD. Citra Adiwangsa Tariq,Kesehatan,23.0,85.0,14.495113427052821,17.54124020141258,Website Sendiri,271.0,Belum Terdaftar,2006,19.596254076843024,5.605802066295998
UD. Oniel Trisudira,Jasa,27.0,89.0,14.440597824554173,16.174150978844825,Shopee,74.0,Belum Terdaftar,2004,19.667713040612313,4.31748811353631
UD. Yola Tri,Jasa,10.0,97.0,14.825306933355163,15.394372555072643,Lazada,401.0,Belum Terdaftar,2000,19.586951684209556,5.996452088619021
UD. Ulfa Anggrek,Pendidikan,91.0,58.0,14.234525451702853,15.293289152918595,Tokopedia,898.0,Terdaftar,2007,19.91806915481498,6.80128303447162
UD. Ojan Agung,Pendidikan,85.0,46.0,15.670975701609333,17.52708426342048,Tokopedia,337.0,Terdaftar,2023,19.789320172378066,5.823045895483019
UD. Berlian Kamajaya,Pendidikan,29.0,87.0,15.923984306948196,17.493103735997472,Website Sendiri,675.0,Terdaftar,2012,19.667713040612313,6.516193076042964
UD. Kevin Langit,Jasa,37.0,20.0,15.522969155280801,17.09554496089243,Tokopedia,159.0,Terdaftar,2019,18.95717412031489,5.075173815233827
UD. Rosa Wening,Jasa,80.0,94.0,13.805589506682455,17.02352060348417,Tokopedia,118.0,Terdaftar,2005,20.073178147762622,4.77912349311153
UD. Hanafi Wijaksana,Kesehatan,50.0,11.0,15.741822773058011,15.995864964148867,Lazada,537.0,Terdaftar,2016,19.478471041572444,6.2878585601617845
UD. Karla Cendana,Perdagangan,0.0,23.0,13.914405214938489,17.260633273803077,Shopee,979.0,Belum Terdaftar,2014,18.049617077054286,6.887552571664617
UD. Eka Kencana Leni,Pendidikan,83.0,20.0,15.79690574241815,17.1704534728573,Bukalapak,666.0,Terdaftar,2024,19.548851838098265,6.502790045915623
UD. Erlangga Madya,Pendidikan,68.0,3.0,13.805589506682455,17.42257204414557,Tokopedia,502.0,Belum Terdaftar,2014,19.176802728368536,6.220590170099739
UD. Erlangga Widhi,Pendidikan,32.0,24.0,15.872782791466793,17.679862899348816,Website Sendiri,337.0,Terdaftar,2005,18.939474543319914,5.823045895483019
UD. Omar Satria,Jasa,64.0,7.0,14.223105396585563,17.679862899348816,Bukalapak,123.0,Belum Terdaftar,2006,19.176802728368536,4.820281565605037
UD. Aldo Sehat,Kesehatan,43.0,35.0,15.149783201566153,15.960641871900231,Tokopedia,861.0,Terdaftar,2000,19.27083167759548,6.759255270663693
UD. Qayla Indah,Kesehatan,63.0,33.0,15.86960429120981,17.679862899348816,Shopee,506.0,Terdaftar,2010,19.478471041572444,6.2285110035911835
UD. Yora Damai,Kesehatan,31.0,90.0,14.766421822984977,16.64573443802242,Website Sendiri,958.0,Terdaftar,2012,19.709913394983946,6.8658910748834385
UD. Desi Pagi,Pendidikan,53.0,27.0,15.928187508662697,17.32793480456046,Shopee,117.0,Terdaftar,2019,19.29614948547293,4.770684624465665
UD. Icha Wacana,Jasa,25.0,61.0,15.94584814013678,16.703089140798642,Website Sendiri,69.0,Terdaftar,2015,19.36847014676186,4.248495242049359
UD. Lea Buana Lintang,Pendidikan,61.0,92.0,15.644621526504686,16.479688143908923,Website Sendiri,296.0,Terdaftar,2022,19.94456077020347,5.6937321388027
UD. Utami Galang,Pendidikan,41.0,92.0,14.331129077433365,17.235951554495124,Website Sendiri,391.0,Terdaftar,2003,19.804471977360404,5.971261839790462
UD. Qayla Persada,Jasa,47.0,73.0,14.863784885242598,17.24375864777156,Website Sendiri,927.0,Belum Terdaftar,2015,19.701614592192207,6.833031732786201
UD. Shinta Utama,Perdagangan,5.0,43.0,15.583237034504908,17.627269505370442,Website Sendiri,884.0,Terdaftar,2016,18.78532386448472,6.785587645007929
UD. Dito Satria,Pendidikan,29.0,31.0,14.856127847658538,16.716299259505092,Shopee,34.0,Terdaftar,2015,19.00846741441004,3.5553480614894135
UD. Putri Mandala,Kesehatan,22.0,7.0,13.805589506682455,16.730965529663,Lazada,252.0,Terdaftar,2002,18.28141868811311,5.53338948872752
UD. Made Arsana,Kesehatan,88.0,53.0,15.161709483472716,17.4944823175661,Shopee,597.0,Belum Terdaftar,2020,19.86288273937462,6.393590753950631
UD. Panji Harmoni Intan,Kesehatan,24.0,16.0,15.409847421341574,17.38034601431421,Lazada,678.0,Belum Terdaftar,2002,18.603002309079653,6.520621127558696
UD. Sari Ratu,Perdagangan,12.0,11.0,15.612331197833473,16.679424770302877,Shopee,331.0,Terdaftar,2005,18.049617077054286,5.805134968916488
UD. Dewi Sari,Jasa,24.0,89.0,14.462781848729064,17.40691193157436,Website Sendiri,535.0,Belum Terdaftar,2023,19.641510668294575,6.284134161070802
UD. Pandu Nirbayu,Jasa,16.0,66.0,14.643099903769414,16.725312052290697,Shopee,315.0,Belum Terdaftar,2006,19.320842097961677,5.755742213586912
UD. Fatimah Atma Putri,Jasa,26.0,74.0,16.068205687231004,16.797561872517402,Shopee,97.0,Belum Terdaftar,2006,19.519293035953808,4.584967478670572
UD. Pardi Jayaningrat,Jasa,10.0,77.0,14.936621835476306,15.033690067461153,Lazada,34.0,Terdaftar,2012,19.380030969118383,3.5553480614894135
UD. Via Ilir,Pendidikan,5.0,70.0,15.168971503644363,15.195559456722336,Shopee,120.0,Belum Terdaftar,2002,19.23161096461314,4.795790545596741
UD. Zidanar Kalbu,Jasa,50.0,25.0,15.593491031346261,16.175249598121628,Shopee,545.0,Belum Terdaftar,2015,19.548851838098265,6.302618975744905
UD. Aqila Trisula,Perdagangan,36.0,32.0,15.847071003397197,17.31871825964058,Tokopedia,917.0,Belum Terdaftar,2010,19.13363055671045,6.822197390620491
UD. Gadis Jagadmaya,Perdagangan,95.0,43.0,13.805589506682455,16.45497523317448,Website Sendiri,501.0,Terdaftar,2024,19.841376534205047,6.660575149839686
UD. Abel Citra Wenda,Jasa,87.0,31.0,15.330342142831938,17.469191317752504,Website Sendiri,600.0,Terdaftar,2019,19.68480747392291,6.398594934535208
UD. Prita Wijaya,Jasa,74.0,37.0,15.680755126829807,16.506197893130658,Tokopedia,822.0,Terdaftar,2007,19.62365305094772,6.71295620067707
UD. Fanny Abadi,Perdagangan,71.0,9.0,15.895469590722502,16.137343712746762,Bukalapak,915.0,Terdaftar,2013,19.29614948547293,6.82001636467413
UD. Lina Mayang,Kesehatan,50.0,78.0,15.711586798338313,17.34093823584948,Shopee,305.0,Belum Terdaftar,2009,19.650321297950857,5.723585101952381
UD. Nayla Nawasena Vino,Pendidikan,73.0,78.0,14.578069055783859,17.295667784292313,Website Sendiri,563.0,Terdaftar,2000,19.931402685654813,6.335054251498059
UD. Chiko Nirwana,Jasa,58.0,69.0,15.841404292066295,17.125068451250286,Shopee,263.0,Terdaftar,2018,19.758309935715648,5.575949103146316
UD. Uci Sanjaya,Pendidikan,9.0,88.0,16.068205687231004,15.201323803366556,Bukalapak,804.0,Terdaftar,2024,19.488833828572194,6.690842277418564
UD. Qasya Wirawati Krisna,Pendidikan,0.0,0.0,13.805589506682455,16.627720093595023,Tokopedia,455.0,Belum Terdaftar,2001,0.0,6.1224928095143865
UD. Yola Bintang Santi,Kesehatan,51.0,69.0,15.938197754724854,16.683488320535172,Website Sendiri,527.0,Terdaftar,2018,19.701614592192207,6.269096283706261
UD. Elok Sukma,Pendidikan,86.0,76.0,16.029190991931713,16.93610585591179,Bukalapak,175.0,Terdaftar,2024,20.001719183922383,5.170483995038151
UD. Qasya Madani,Perdagangan,17.0,49.0,16.068205687231004,17.679862899348816,Bukalapak,423.0,Belum Terdaftar,2021,19.424982356812237,6.049733455231958
UD. Poppy Naraya,Jasa,86.0,87.0,15.9668420871016,16.628713973238842,Bukalapak,402.0,Belum Terdaftar,2006,20.067414443056943,5.998936561946683
UD. Jasmin Manggala,Jasa,4.0,83.0,15.958274490970501,17.635590386865413,Lazada,241.0,Terdaftar,2009,19.380030969118383,5.488937726156687
UD. Raka Pramana,Jasa,83.0,24.0,15.98612726477401,17.626803886607725,Website Sendiri,928.0,Belum Terdaftar,2014,19.586951684209556,6.834108738813838
UD. Jay Cendana,Kesehatan,47.0,51.0,15.82218192454842,17.56352137836688,Lazada,798.0,Belum Terdaftar,2016,19.499090328704316,6.683360945766275
UD. Dani Arya Maudy,Perdagangan,32.0,11.0,15.765627844592185,16.654020848397224,Website Sendiri,636.0,Belum Terdaftar,2000,18.675322970077882,6.456769655572163
UD. Viani Galuh,Pendidikan,56.0,45.0,13.805589506682455,16.870797516450434,Shopee,586.0,Belum Terdaftar,2022,19.529243366773972,6.375024819828097
UD. Bayu Gandewa,Jasa,95.0,8.0,15.036093251158142,17.510478340535755,Tokopedia,753.0,Belum Terdaftar,2006,19.548851838098265,6.625392368007956
UD. Joko Madya,Kesehatan,24.0,44.0,16.068205687231004,17.679862899348816,Lazada,376.0,Terdaftar,2008,19.13363055671045,5.932245187448011
UD. Wulan Adiwarna,Kesehatan,43.0,35.0,15.923758312936378,17.551095099222678,Shopee,597.0,Terdaftar,2008,19.27083167759548,6.393590753950631
UD. Lina Makmur,Kesehatan,90.0,8.0,15.111016052720476,17.485870377394914,Lazada,172.0,Terdaftar,2018,19.499090328704316,5.153291594497779
UD. Syana Cendana,Perdagangan,65.0,39.0,16.028223130252385,17.35215039251149,Tokopedia,672.0,Terdaftar,2016,19.558513748978886,6.511745329644728
UD. Novi Anggrek,Pendidikan,67.0,33.0,15.571266267424777,17.586066584267883,Lazada,895.0,Terdaftar,2006,19.519293035953808,6.79794041297493
UD. Reza Makmur,Kesehatan,24.0,87.0,16.068205687231004,15.033690067461153,Website Sendiri,619.0,Belum Terdaftar,2013,19.62365305094772,6.429719478039138
UD. Opik Utama,Perdagangan,44.0,52.0,15.330152838191726,16.9260060231432,Lazada,107.0,Belum Terdaftar,2006,19.478471041572444,4.68213122712422
UD. Lando Santosa,Jasa,22.0,44.0,14.850751643913485,17.402016281533616,unknown,996.0,Terdaftar,2024,19.103777593709314,6.904750769961838
UD. Wesly Pramudita Koko,Pendidikan,99.0,96.0,16.05115927058609,15.033690067461153,Tokopedia,105.0,Belum Terdaftar,2024,20.187122406905534,4.663439094112067
UD. Olla Radhitya,Pendidikan,40.0,32.0,15.97602735098399,15.328692823781129,Bukalapak,956.0,Belum Terdaftar,2016,19.190788970278067,6.863803391452954
UD. Kurnia Wirawati Qory,Jasa,32.0,37.0,15.502342380796048,17.049625239402328,Shopee,219.0,Belum Terdaftar,2020,19.14822935606056,5.393627546352362
UD. Qais Trisakti,Pendidikan,27.0,47.0,13.805589506682455,16.83369234487567,Website Sendiri,776.0,Belum Terdaftar,2019,19.218187944341057,6.655440350367647
UD. Zainab Berkarya,Pendidikan,7.0,76.0,15.466329828445678,17.448891784072686,Shopee,774.0,Terdaftar,2003,19.332963458445047,6.652863029353347
UD. Vidi Agung,Kesehatan,96.0,81.0,16.05266542570411,17.42592418131386,Shopee,519.0,Belum Terdaftar,2005,20.09027258108945,6.253828811575473
UD. Khalid Adiwarna,Jasa,28.0,58.0,15.435928370073524,16.023037769324134,Bukalapak,721.0,Terdaftar,2005,19.36847014676186,6.582025138892826
UD. Pandu Sasmita,Perdagangan,55.0,61.0,16.068205687231004,17.23195432062571,Website Sendiri,634.0,Terdaftar,2008,19.667713040612313,6.453624998892692
UD. Putra Kelana,Pendidikan,14.0,34.0,15.361926665132216,17.611513457861147,Lazada,236.0,Terdaftar,2011,18.78532386448472,5.4680601411351315
UD. Vino Winata,Jasa,14.0,46.0,14.824476729032765,16.731438620402162,Lazada,441.0,Belum Terdaftar,2002,19.00846741441004,6.091309882077698
UD. Krisna Sudharmo,Jasa,36.0,58.0,15.705095828045852,17.156988154155425,Lazada,890.0,Terdaftar,2008,19.457417632448486,6.218600119691729
UD. Bela Manik,Kesehatan,18.0,58.0,13.805589506682455,17.13509845519896,Lazada,877.0,Belum Terdaftar,2012,19.24485619130468,6.777646593635117
UD. Uci Prima,Kesehatan,58.0,1.0,15.946347795038498,17.679862899348816,Bukalapak,122.0,Belum Terdaftar,2002,18.99166029618782,4.812184355372417
UD. Rangga Lempung,Perdagangan,50.0,88.0,15.301931210057159,17.399859013387143,Website Sendiri,698.0,Terdaftar,2009,19.841376534205047,6.54965074223381
UD. Oki Trisaktiatma,Perdagangan,84.0,59.0,15.25908442281466,16.492637938975417,Lazada,933.0,Belum Terdaftar,2021,19.876967479223293,6.839476438228843
UD. Via Manik Anang,Pendidikan,34.0,5.0,14.749261175056132,17.664107362064403,Tokopedia,749.0,Belum Terdaftar,2009,18.57768450130904,6.620073206530356
UD. Putri Trijaya,Pendidikan,89.0,24.0,15.47093986451935,17.66760844811423,Lazada,879.0,Belum Terdaftar,2022,19.641510668294575,6.779921907472252
UD. Karla Binasena,Perdagangan,91.0,52.0,15.775716321768556,16.847079459725116,Bukalapak,63.0,Belum Terdaftar,2005,19.876967479223293,4.1588830833596715
UD. Joko Arya Mika,Kesehatan,85.0,83.0,15.844972284370332,17.25824110520459,Tokopedia,757.0,Belum Terdaftar,2023,20.038086828019768,6.630683385642372
UD. Indah Santosa,Perdagangan,52.0,3.0,14.46387112444233,16.404349278668516,Bukalapak,561.0,Terdaftar,2015,18.92145603792546,6.331501849893691
UD. Kurnia Agastya Bela,Pendidikan,79.0,71.0,15.485467110128319,16.737911526910977,Lazada,699.0,Belum Terdaftar,2014,19.92475814295086,6.551080335043404
UD. Yora Arya,Jasa,11.0,97.0,15.18125189531096,15.033690067461153,Website Sendiri,258.0,Terdaftar,2014,19.596254076843024,5.556828061699537
UD. Udin Kencana,Kesehatan,27.0,91.0,15.53039978193413,16.566849149530164,Website Sendiri,782.0,Terdaftar,2002,19.68480747392291,6.663132695990803
UD. Utami Lintang,Pendidikan,70.0,55.0,15.198853317390427,17.188375472461882,Tokopedia,47.0,Terdaftar,2001,19.74243658660135,3.871201010907891
UD. Anis Ananta,Jasa,32.0,1.0,14.088155639414758,17.598013679610784,Bukalapak,698.0,unknown,2014,18.410630418199872,6.54965074223381
UD. Lana Hilir,Kesehatan,87.0,16.0,15.606759230091033,17.15291534466119,Tokopedia,470.0,Belum Terdaftar,2018,19.548851838098265,6.154858094016418
UD. Kanza Pagi,Perdagangan,74.0,67.0,15.218937317824466,17.679862899348816,Tokopedia,344.0,Terdaftar,2001,19.86288273937462,5.84354441703136
UD. Tama Lingga,Jasa,78.0,47.0,13.805589506682455,16.02345216886168,Website Sendiri,461.0,Belum Terdaftar,2019,19.74243658660135,6.135564891081739
UD. Nando Wisesa,Perdagangan,82.0,97.0,15.940317238438116,17.26347574274129,Bukalapak,320.0,Belum Terdaftar,2020,20.101508654335337,5.771441123130016
UD. Zidan Senopati,Perdagangan,54.0,26.0,15.864938797883305,17.46165504315528,Website Sendiri,239.0,Terdaftar,2002,19.29614948547293,5.480638923341991
UD. Uti Kusen Rangga,Pendidikan,78.0,82.0,14.527757177464938,16.222638802665223,Bukalapak,424.0,Terdaftar,2000,19.989296663949546,6.052089168924417
UD. Valen Citra,Kesehatan,72.0,91.0,15.772119272726712,17.556989601640584,Website Sendiri,679.0,Belum Terdaftar,2016,20.007873049484136,6.522092798170152
UD. Ovan Bratadikara,Kesehatan,76.0,33.0,15.922373181695953,17.57314789262362,Bukalapak,843.0,Terdaftar,2001,19.60547073191963,6.738152494595957
UD. Owen Puri,Pendidikan,49.0,95.0,15.119102698873537,16.442573310821633,Shopee,592.0,Terdaftar,2007,19.883936148523198,6.385194398997726
UD. Khalid Persada,Pendidikan,28.0,40.0,15.55476160887572,17.45818718660939,Website Sendiri,391.0,Belum Terdaftar,2022,19.13363055671045,5.971261839790462
UD. Ziva Sumringah,Pendidikan,57.0,94.0,16.03464230031546,15.520219558529538,Shopee,834.0,Terdaftar,2015,19.931402685654813,6.727431724850855
UD. Viera Ananta,Perdagangan,25.0,5.0,14.420358623665058,17.56662167132976,Tokopedia,594.0,Terdaftar,2022,18.31532023940565,6.38856140554563
UD. Ojan Senja,Kesehatan,22.0,5.0,15.717528080310952,17.25580287563933,Website Sendiri,294.0,Belum Terdaftar,2001,18.20995972498239,5.68697535633982
UD. Zulfa Jati,Perdagangan,16.0,27.0,15.593311390470364,17.497816277352598,Tokopedia,551.0,Belum Terdaftar,2018,18.675322970077882,6.313548046277095
UD. Dea Nirbayu,Pendidikan,4.0,7.0,15.903871701458762,15.81359168041992,Website Sendiri,220.0,Terdaftar,2000,17.312018149733785,5.3981627015177525
UD. Teguh Pagi,Pendidikan,58.0,0.0,16.031373904748918,17.538810375814304,Tokopedia,287.0,Terdaftar,2006,18.974565862925928,5.662960480135946
UD. Qyla Haji,Jasa,15.0,79.0,15.519413202002976,17.61228395589517,Lazada,506.0,Terdaftar,2021,19.457417632448486,6.2285110035911835
UD. Yola Jagadmaya,Kesehatan,93.0,82.0,15.739815850970057,16.61204380817084,Bukalapak,941.0,Belum Terdaftar,2000,20.078908822460658,6.848005274576363
UD. Amir Panji,Kesehatan,20.0,17.0,16.03571375952646,17.345022376739035,Tokopedia,446.0,Terdaftar,2004,18.525040768285617,6.102558594613569
UD. Anisa Tejakencana,Jasa,4.0,93.0,15.907430420554903,17.46757980332341,Bukalapak,450.0,Terdaftar,2017,19.488833828572194,6.111467339502679
UD. Riyan Nirwana,Jasa,25.0,96.0,15.72320810269666,17.20973028565459,Website Sendiri,578.0,Belum Terdaftar,2002,19.709913394983946,6.361302477572996
UD. Qanita Wetan,Jasa,42.0,91.0,16.028282315784,17.679862899348816,Bukalapak,551.0,Terdaftar,2017,19.804471977360404,6.313548046277095
UD. Via Bratadikara,Perdagangan,93.0,46.0,15.654172537848492,16.646452972469604,Bukalapak,878.0,Terdaftar,2002,19.848596782161156,6.778784897685177
UD. Dea Wiyata,Jasa,58.0,79.0,15.10661335724445,15.2575212797762,Shopee,25.0,Belum Terdaftar,2015,19.8341037748936,3.258096538021482
UD. Dewi Satriya,Jasa,85.0,10.0,15.335322186608929,15.4588123613649,Bukalapak,508.0,Belum Terdaftar,2014,19.467999741741696,6.2324480165505225
UD. Monica Agung,Jasa,57.0,5.0,13.890912050302784,15.747831215302897,Bukalapak,459.0,Belum Terdaftar,2001,19.04125723705382,6.131226489483141
UD. Jordi Mandiri,Jasa,1.0,13.0,15.503315004847357,17.426554597789266,Bukalapak,242.0,Terdaftar,2002,17.553180200057167,5.493061443340548
UD. Hendra Widuri,Perdagangan,43.0,99.0,15.848034874179456,17.447345103560995,Tokopedia,980.0,Belum Terdaftar,2004,19.869949906581063,6.8885724595653635
